当前台风时间,台风编号,台风中文名称,台风英文名称,台风起始时间,台风结束时间,经度,纬度,台风强度,台风等级,风速,气压,移动方向,移动速度,场站距离_km,target_time,方位角,相对方位角,移动速度(m/s),移动方向(°),rmax,b,hollandvg,rmax-ym,b-ym,hollandvg-ym,ym风速,ym风速(<=250km),rmax_i,b_i,hollandvg_i,rmax_ym_i,b_ym_i,hollandvg_ym_i,ym风速_i,ym风速250_i,hollandvg_az,rmax_az,b_az,atten_w
2019-07-15 17:00:00,201905.0,丹娜丝,Danas,2019-07-16 14:00:00,2019-07-21 20:00:00,131.4,17.1,热带低压(TD),7,15,1000,西,15.0,2008.0238005406736,2019-07-15 17:00:00,332.5937990319813,62.588898359766745,3.936271631047714,270.0049006722145,27.281021846772425,1.22215205,0.0640652791371323,46.47897222033433,1.3170420555593312,0.0924229556067786,0.0923352340948798,,34.729122821413974,1.0,0.17520901109173792,34.729122821413974,1.3333333333333333,0.06127629177368732,0.06124308976057486,,0.05919601406523611,37.44204076729108,1.3749954731626268,0.006088616297285498
2019-07-15 17:15:00,201905.0,丹娜丝,Danas,2019-07-16 14:00:00,2019-07-21 20:00:00,131.36666666666667,17.1,热带低压(TD),7,15,1000,西,15.583333333333334,2006.39524949032,2019-07-15 17:15:00,332.6708128245254,62.66101147934171,3.936271616649084,270.0098013451837,27.281021846772425,1.22215205,0.064184395300181,46.47897222033433,1.3170420555593312,0.0926016175754611,0.0925135567120208,,34.729122821413974,1.0,0.17549605030320237,34.729122821413974,1.3333333333333333,0.06139403815196687,0.06136070847394752,,0.05931691209854506,37.43545448551434,1.374894327975853,0.006113858757062117
2019-07-15 17:30:00,201905.0,丹娜丝,Danas,2019-07-16 14:00:00,2019-07-21 20:00:00,131.33333333333334,17.1,热带低压(TD),7,15,1000,西,16.166666666666668,2004.7709324949544,2019-07-15 17:30:00,332.7479623330223,62.73816098783868,3.936271616649084,270.0098013451837,27.281021846772425,1.22215205,0.0643036454620258,46.47897222033433,1.3170420555593312,0.0927804857933267,0.0926920845307827,,34.729122821413974,1.0,0.1757832271210944,34.729122821413974,1.3333333333333333,0.06151186422677313,0.06147840655243683,,0.05943826370044292,37.42840347184877,1.3747860459256274,0.006139139946642593
2019-07-15 17:45:00,201905.0,丹娜丝,Danas,2019-07-16 14:00:00,2019-07-21 20:00:00,131.3,17.1,热带低压(TD),7,15,1000,西,16.75,2003.1508599563235,2019-07-15 17:45:00,332.82524753208554,62.81544618690191,3.936271616649084,270.0098013451837,27.281021846772425,1.22215205,0.064422907459523,46.47897222033433,1.3170420555593312,0.0929593839981208,0.0928706416231101,,34.729122821413974,1.0,0.1760703597927602,34.729122821413974,1.3333333333333333,0.06162970590221306,0.0615961199694897,,0.059559658636700874,37.421335149890645,1.3746774980728529,0.006164459204197032
2019-07-15 18:00:00,201905.0,丹娜丝,Danas,2019-07-16 14:00:00,2019-07-21 20:00:00,131.26666666666668,17.1,热带低压(TD),7,15,1000,西,17.333333333333332,2001.535042282536,2019-07-15 18:00:00,332.90266839394405,62.89286704876031,3.936271616649084,270.0098013451837,27.281021846772425,1.22215205,0.0645421791413838,46.47897222033433,1.3170420555593312,0.0931383089409152,0.0930492247459606,,34.729122821413974,1.0,0.17635744324203273,34.729122821413974,1.3333333333333333,0.06174756103477819,0.0617138465838413,,0.05968109480608064,37.41424950920868,1.3745686842573372,0.006189815975903502
2019-07-15 18:15:00,201905.0,丹娜丝,Danas,2019-07-16 14:00:00,2019-07-21 20:00:00,131.23333333333335,17.1,热带低压(TD),7,15,1000,西,17.916666666666668,1999.9234898878688,2019-07-15 18:15:00,332.9802248884273,62.97042354324367,3.936271616650763,270.0098013451837,27.281021846772425,1.22215205,0.0646614583411491,46.47897222033433,1.3170420555593312,0.0933172573491774,0.0932278306327804,,34.729122821413974,1.0,0.17664447236104763,34.729122821413974,1.3333333333333333,0.0618654274657473,0.06183158423904853,,0.05980257009132117,37.40714653969798,1.3744596043238997,0.0062152097023420345
2019-07-15 18:30:00,201905.0,丹娜丝,Danas,2019-07-16 14:00:00,2019-07-21 20:00:00,131.2,17.1,热带低压(TD),7,15,1000,西,18.5,1998.316213192569,2019-07-15 18:30:00,333.0579169829514,63.04811563776775,3.936271616650763,270.0098013451837,27.281021846772425,1.22215205,0.0647807428771614,46.47897222033433,1.3170420555593312,0.0934962259268203,0.0934064559935542,,34.729122821413974,1.0,0.1769314420103001,34.729122821413974,1.3333333333333333,0.06198330302121491,0.06194933076351861,,0.05992408235918134,37.400026231582295,1.374350258122407,0.006240639818437576
2019-07-15 18:45:00,201905.0,丹娜丝,Danas,2019-07-16 14:00:00,2019-07-21 20:00:00,131.16666666666666,17.1,热带低压(TD),7,15,1000,西,19.083333333333336,1996.713222622656,2019-07-15 18:45:00,333.13574464250337,63.125943297319736,3.936271616649084,270.0098013451837,27.281021846772425,1.22215205,0.0649000305526286,46.47897222033433,1.3170420555593312,0.0936752113541814,0.0935850975147848,,34.729122821413974,1.0,0.1772183470186519,34.729122821413974,1.3333333333333333,0.06210118551202726,0.062067083970445344,,0.06004562946039016,37.39288857541756,1.374240645507827,0.006266105753524442
2019-07-15 19:00:00,201905.0,丹娜丝,Danas,2019-07-16 14:00:00,2019-07-21 20:00:00,131.13333333333333,17.1,热带低压(TD),7,15,1000,西,19.666666666666668,1995.1145286097185,2019-07-15 19:00:00,333.21370782962805,63.20390648444436,3.936271616649084,270.0098013451837,27.281021846772425,1.22215205,0.0650193191555601,46.47897222033433,1.3170420555593312,0.0938542102880362,0.0937637518595076,,34.729122821413974,1.0,0.1775051821833955,34.729122821413974,1.3333333333333333,0.06221907273385341,0.06218484165788023,,0.06016720922969654,37.3857335620946,1.3741307663402706,0.00629160693134465
2019-07-15 19:15:00,201905.0,丹娜丝,Danas,2019-07-16 14:00:00,2019-07-21 20:00:00,131.1,17.1,热带低压(TD),7,15,1000,西,20.25,1993.520141590712,2019-07-15 19:15:00,333.2918065044124,63.28200515922868,3.936271616649084,270.0098013451837,27.281021846772425,1.22215205,0.0651386064588237,46.47897222033433,1.3170420555593312,0.0940332193615773,0.0939424156672694,,34.729122821413974,1.0,0.17779194227024675,34.729122821413974,1.3333333333333333,0.0623369624671426,0.062302601608690056,,0.060288819485805334,37.378561182841416,1.3740206204850267,0.006317142769978493
